QueryID	Algorithm	Metric	k	Value
GLOBAL	late_fusion	Pop@k	18	39.96093164041574
GLOBAL	late_fusion	Coverage@k	19	0.8160559305689489
GLOBAL	late_fusion	Pop@k	19	39.98101811906817
GLOBAL	late_fusion	Coverage@k	20	0.8220829315332691
GLOBAL	late_fusion	Pop@k	20	39.95983606557377
GLOBAL	early_AT	Coverage@k	1	0.37439729990356796
GLOBAL	early_AT	Pop@k	1	38.64946962391514
GLOBAL	early_AT	Coverage@k	2	0.5067502410800385
GLOBAL	early_AT	Pop@k	2	38.537246865959496
GLOBAL	early_AT	Coverage@k	3	0.595708775313404
GLOBAL	early_AT	Pop@k	3	38.53801028608165
GLOBAL	early_AT	Coverage@k	4	0.6511571841851495
GLOBAL	early_AT	Pop@k	4	38.49945756991321
GLOBAL	early_AT	Coverage@k	5	0.6933461909353905
GLOBAL	early_AT	Pop@k	5	38.49484088717455
GLOBAL	early_AT	Coverage@k	6	0.7297492767598843
GLOBAL	early_AT	Pop@k	6	38.459257473481195
GLOBAL	early_AT	Coverage@k	7	0.7531340405014465
GLOBAL	early_AT	Pop@k	7	38.40535886485742
GLOBAL	early_AT	Coverage@k	8	0.7748312439729991
GLOBAL	early_AT	Pop@k	8	38.46893081002893
GLOBAL	early_AT	Coverage@k	9	0.7909836065573771
GLOBAL	early_AT	Pop@k	9	38.40442515804136
GLOBAL	early_AT	Coverage@k	10	0.8032786885245902
GLOBAL	early_AT	Pop@k	10	38.43625843780135
GLOBAL	early_AT	Coverage@k	11	0.8170202507232401
GLOBAL	early_AT	Pop@k	11	38.38222144297361
GLOBAL	early_AT	Coverage@k	12	0.8326904532304725
GLOBAL	early_AT	Pop@k	12	38.35934988749598
GLOBAL	early_AT	Coverage@k	13	0.843297974927676
GLOBAL	early_AT	Pop@k	13	38.37044729619465
GLOBAL	early_AT	Coverage@k	14	0.8514946962391514
GLOBAL	early_AT	Pop@k	14	38.369007439041184
GLOBAL	early_AT	Coverage@k	15	0.8589681774349084
GLOBAL	early_AT	Pop@k	15	38.37074895531984
GLOBAL	early_AT	Coverage@k	16	0.866923818707811
GLOBAL	early_AT	Pop@k	16	38.33475470106075
GLOBAL	early_AT	Coverage@k	17	0.8736740597878495
GLOBAL	early_AT	Pop@k	17	38.32633728515515
GLOBAL	early_AT	Coverage@k	18	0.8799421407907425
GLOBAL	early_AT	Pop@k	18	38.309707489553205
GLOBAL	early_AT	Coverage@k	19	0.8857280617164899
GLOBAL	early_AT	Pop@k	19	38.32148657564838
GLOBAL	early_AT	Coverage@k	20	0.889344262295082
GLOBAL	early_AT	Pop@k	20	38.32421648987463
GLOBAL	late_AT	Coverage@k	1	0.3770491803278688
GLOBAL	late_AT	Pop@k	1	38.64874638379942
GLOBAL	late_AT	Coverage@k	2	0.5101253616200578
GLOBAL	late_AT	Pop@k	2	38.44202025072324
GLOBAL	late_AT	Coverage@k	3	0.5947444551591128
GLOBAL	late_AT	Pop@k	3	38.44993571198972
GLOBAL	late_AT	Coverage@k	4	0.6526036644165863
GLOBAL	late_AT	Pop@k	4	38.45063886210222
GLOBAL	late_AT	Coverage@k	5	0.6984088717454194
GLOBAL	late_AT	Pop@k	5	38.415670202507236
GLOBAL	late_AT	Coverage@k	6	0.7307135969141755
GLOBAL	late_AT	Pop@k	6	38.39046930247509
GLOBAL	late_AT	Coverage@k	7	0.758678881388621
GLOBAL	late_AT	Pop@k	7	38.403120264499236
GLOBAL	late_AT	Coverage@k	8	0.781099324975892
GLOBAL	late_AT	Pop@k	8	38.385667791706844
GLOBAL	late_AT	Coverage@k	9	0.8008678881388621
GLOBAL	late_AT	Pop@k	9	38.35658416372013
GLOBAL	late_AT	Coverage@k	10	0.8187078109932497
GLOBAL	late_AT	Pop@k	10	38.31827386692382
GLOBAL	late_AT	Coverage@k	11	0.8288331726133076
GLOBAL	late_AT	Pop@k	11	38.309634434996056
GLOBAL	late_AT	Coverage@k	12	0.839440694310511
GLOBAL	late_AT	Pop@k	12	38.29920041787207
GLOBAL	late_AT	Coverage@k	13	0.8493249758919962
GLOBAL	late_AT	Pop@k	13	38.29163266819969
GLOBAL	late_AT	Coverage@k	14	0.857039537126326
GLOBAL	late_AT	Pop@k	14	38.271456123432976
GLOBAL	late_AT	Coverage@k	15	0.8649951783992286
GLOBAL	late_AT	Pop@k	15	38.283879781420765
GLOBAL	late_AT	Coverage@k	16	0.8719864995178399
GLOBAL	late_AT	Pop@k	16	38.29368068948891
GLOBAL	late_AT	Coverage@k	17	0.8777724204435873
GLOBAL	late_AT	Pop@k	17	38.29264280446991
GLOBAL	late_AT	Coverage@k	18	0.8828351012536162
GLOBAL	late_AT	Pop@k	18	38.29912675452694
GLOBAL	late_AT	Coverage@k	19	0.8891031822565092
GLOBAL	late_AT	Pop@k	19	38.29591940313658
GLOBAL	late_AT	Coverage@k	20	0.8927193828351012
GLOBAL	late_AT	Pop@k	20	38.29177917068466
GLOBAL	early_AV	Coverage@k	1	0.4652844744455159
GLOBAL	early_AV	Pop@k	1	37.37560270009643
GLOBAL	early_AV	Coverage@k	2	0.601976856316297
GLOBAL	early_AV	Pop@k	2	37.62536162005786
GLOBAL	early_AV	Coverage@k	3	0.6745419479267116
GLOBAL	early_AV	Pop@k	3	37.615477338476374
GLOBAL	early_AV	Coverage@k	4	0.7186595949855352
GLOBAL	early_AV	Pop@k	4	37.74626325940212
GLOBAL	early_AV	Coverage@k	5	0.752410800385728
GLOBAL	early_AV	Pop@k	5	37.78929604628737
GLOBAL	early_AV	Coverage@k	6	0.7779652844744455
GLOBAL	early_AV	Pop@k	6	37.85856637737062
GLOBAL	early_AV	Coverage@k	7	0.79725168756027
GLOBAL	early_AV	Pop@k	7	37.91548422647748
GLOBAL	early_AV	Coverage@k	8	0.809787849566056
GLOBAL	early_AV	Pop@k	8	37.99457569913211
GLOBAL	early_AV	Coverage@k	9	0.8216007714561234
GLOBAL	early_AV	Pop@k	9	38.04607307403836
GLOBAL	early_AV	Coverage@k	10	0.8329315332690453
GLOBAL	early_AV	Pop@k	10	38.07010607521697
GLOBAL	early_AV	Coverage@k	11	0.8416104146576664
GLOBAL	early_AV	Pop@k	11	38.085846410099066
GLOBAL	early_AV	Coverage@k	12	0.8483606557377049
GLOBAL	early_AV	Pop@k	12	38.1085261973642
GLOBAL	early_AV	Coverage@k	13	0.8539054966248795
GLOBAL	early_AV	Pop@k	13	38.15330835991395
GLOBAL	early_AV	Coverage@k	14	0.8599324975891997
GLOBAL	early_AV	Pop@k	14	38.168687146989946
GLOBAL	early_AV	Coverage@k	15	0.8652362584378014
GLOBAL	early_AV	Pop@k	15	38.21825779492125
GLOBAL	early_AV	Coverage@k	16	0.8702989392478303
GLOBAL	early_AV	Pop@k	16	38.251868370298936
GLOBAL	early_AV	Coverage@k	17	0.8746383799421408
GLOBAL	early_AV	Pop@k	17	38.28636054228828
GLOBAL	early_AV	Coverage@k	18	0.8799421407907425
GLOBAL	early_AV	Pop@k	18	38.309707489553205
GLOBAL	early_AV	Coverage@k	19	0.8840405014464803
GLOBAL	early_AV	Pop@k	19	38.33181495203775
GLOBAL	early_AV	Coverage@k	20	0.8866923818707811
GLOBAL	early_AV	Pop@k	20	38.34531099324976
GLOBAL	late_AV	Coverage@k	1	0.4710703953712633
GLOBAL	late_AV	Pop@k	1	37.256509161041464
GLOBAL	late_AV	Coverage@k	2	0.6116200578592093
GLOBAL	late_AV	Pop@k	2	37.39838476374156
GLOBAL	late_AV	Coverage@k	3	0.6829797492767599
GLOBAL	late_AV	Pop@k	3	37.46118611378978
GLOBAL	late_AV	Coverage@k	4	0.7290260366441659
GLOBAL	late_AV	Pop@k	4	37.5749156219865
GLOBAL	late_AV	Coverage@k	5	0.7620540019286403
GLOBAL	late_AV	Pop@k	5	37.62892960462873
GLOBAL	late_AV	Coverage@k	6	0.78351012536162
GLOBAL	late_AV	Pop@k	6	37.65344744455159
GLOBAL	late_AV	Coverage@k	7	0.8056894889103182
GLOBAL	late_AV	Pop@k	7	37.68301418928227
GLOBAL	late_AV	Coverage@k	8	0.8211186113789778
GLOBAL	late_AV	Pop@k	8	37.73128616200579
GLOBAL	late_AV	Coverage@k	9	0.8341369334619093
GLOBAL	late_AV	Pop@k	9	37.74016929176042
GLOBAL	late_AV	Coverage@k	10	0.8447444551591128
GLOBAL	late_AV	Pop@k	10	37.80318225650916
GLOBAL	late_AV	Coverage@k	11	0.8539054966248795
GLOBAL	late_AV	Pop@k	11	37.87604102743929
GLOBAL	late_AV	Coverage@k	12	0.8616200578592093
GLOBAL	late_AV	Pop@k	12	37.892880102860815
GLOBAL	late_AV	Coverage@k	13	0.8674059787849566
GLOBAL	late_AV	Pop@k	13	37.952247607744226
GLOBAL	late_AV	Coverage@k	14	0.8741562198649951
GLOBAL	late_AV	Pop@k	14	37.97422165587546
GLOBAL	late_AV	Coverage@k	15	0.8799421407907425
GLOBAL	late_AV	Pop@k	15	38.02920282867245
GLOBAL	late_AV	Coverage@k	16	0.8847637415621986
GLOBAL	late_AV	Pop@k	16	38.05326362102218
GLOBAL	late_AV	Coverage@k	17	0.8898264223722275
GLOBAL	late_AV	Pop@k	17	38.07464972488513
GLOBAL	late_AV	Coverage@k	18	0.8941658630665381
GLOBAL	late_AV	Pop@k	18	38.07044894460516
GLOBAL	late_AV	Coverage@k	19	0.8977820636451301
GLOBAL	late_AV	Pop@k	19	38.09260011165812
GLOBAL	late_AV	Coverage@k	20	0.900433944069431
GLOBAL	late_AV	Pop@k	20	38.103302796528446
GLOBAL	early_TV	Coverage@k	1	0.38645130183220827
GLOBAL	early_TV	Pop@k	1	39.10486981677917
GLOBAL	early_TV	Coverage@k	2	0.5084378013500482
GLOBAL	early_TV	Pop@k	2	39.34112825458052
GLOBAL	early_TV	Coverage@k	3	0.5742526518804243
GLOBAL	early_TV	Pop@k	3	39.518000642880104
GLOBAL	early_TV	Coverage@k	4	0.6174059787849566
GLOBAL	early_TV	Pop@k	4	39.545081967213115
GLOBAL	early_TV	Coverage@k	5	0.6595949855351977
GLOBAL	early_TV	Pop@k	5	39.65216972034716
GLOBAL	early_TV	Coverage@k	6	0.6914175506268081
GLOBAL	early_TV	Pop@k	6	39.674140147862424
GLOBAL	early_TV	Coverage@k	7	0.710221793635487
GLOBAL	early_TV	Pop@k	7	39.682807549249205
GLOBAL	early_TV	Coverage@k	8	0.7292671166827387
GLOBAL	early_TV	Pop@k	8	39.67565694310511
GLOBAL	early_TV	Coverage@k	9	0.7430086788813887
GLOBAL	early_TV	Pop@k	9	39.666104146576664
GLOBAL	early_TV	Coverage@k	10	0.7581967213114754
GLOBAL	early_TV	Pop@k	10	39.66733365477338
GLOBAL	early_TV	Coverage@k	11	0.7707328833172613
